[000:02:52;21] . 
[001:05:18;21] AND WE SETTLED WITHOUT 
[001:05:20;16] ADMISSION OF GUILT.
[001:05:21;22] IT WAS EASY TO DO.   I NOTICE 
[001:05:22;28] YOU BRING THAT UP A LOT AND I 
[001:05:24;22] NOTICE THE NASTY COMMERCIALS 
[001:05:25;26] YOU'RE DOING ON ME IN SO MANY 
[001:05:27;29] DIFFERENT WAYS, WHICH I DON'T 
[001:05:29;25] DO ON YOU, MAYBE I'M TRYING TO 
[001:05:31;04] SAVE THE MONEY.
[001:05:32;00] BUT FRANKLY, I LOOK AT THAT AND
[001:05:33;28] I SAY, ISN'T THAT AMAZING? 
[001:05:35;29] BECAUSE I SETTLED THAT LAWSUIT 
[001:05:38;25] WITH NO ADMISSION OF GUILT.
[001:05:42;02] BUT THAT WAS A LAWSUIT BROUGHT 
[001:05:44;29] AGAINST MANY REAL ESTATE FIRMS.
[001:05:46;01] AND IT'S JUST ONE OF THOSE 
[001:05:47;29] THINGS.
[001:05:48;11] I'LL GO ONE STEP FURTHER.
[001:05:49;05] IN PALM BEACH, FLORIDA, A 
[001:05:51;10] BRILLIANT COMMUNITY, PROBABLY 
[001:05:52;13] THE WEALTHIEST COMMUNITY THERE 
[001:05:53;16] IS IN THE WORLD I OPENED THE 
[001:05:59;05] CLUB, AND REALLY GOT GREAT 
[001:06:00;13] CREDIT FOR IT.
[001:06:02;03] NO DISCRIMINATION AGAINST 
[001:06:03;08] AFRICAN-AMERICANS, AGAINST 
[001:06:06;05] MUSLIMS, AGAINST ANYBODI, AND 
[001:06:10;12] IT'S A TREMENDOUSLY SUCCESSFUL 
[001:06:12;17] CLUB AND I'M SO GLAD I DID IT, 
[001:06:15;07] AND I HAVE BEEN GIVEN GREAT 
[001:06:16;20] CREDIT FOR WHAT I DID, AND I'M 
[001:06:18;10] VERY, VERY PROUD OF IT.
[001:06:19;09] AND THAT'S THE WAY I FEEL.
[001:06:22;06] THAT'S THE TRUE WAY I FEEL. 
[001:06:24;10] LESTER HOLT:  OUR NEXT SEGMENT 
[001:06:26;16] IS CALLED SECURING AMERICA.
[001:06:27;14] WE WANT TO START WITH A 21ST 
[001:06:29;14] CENTURY WAR HAPPENING EVERY DAY
[001:06:30;14] IN THIS COUNTRY.
[001:06:31;12] OUR INSTITUTIONS ARE UNDER 
[001:06:32;19] CYBER ATTACK, AND OUR SECRETS 
[001:06:34;19] ARE BEING STOLEN.
[001:06:35;19] SO MY QUESTION IS, WHO'S BEHIND
[001:06:37;16] IT, AND HOW DO WE FIGHT IT? 
[001:06:38;22] SECRETARY CLINTON, THIS ANSWER 
[001:06:40;20] GOES TO YOU. 
[001:06:41;26] HILLARY CLINTON: WELL, I THINK 
[001:06:42;26] CYBER SECURITY, CYBER WARFARE 
[001:06:44;21] WILL BE ONE OF THE BIGGEST 
[001:06:47;21] CHALLENGES FACING THE NEXT 
[001:06:49;22] PRESIDENT BECAUSE CLEARLY, 
[001:06:50;20] WE'RE FACING AT THIS POINT TWO 
[001:06:51;26] DIFFERENT KINDS OF ADVERSARIES.
[001:06:54;23] THERE ARE THE INDEPENDENT 
[001:06:59;26] HACKING GROUPS THAT DO IT 
[001:07:00;25] MOSTLY FOR COMMERCIAL REASONS 
[001:07:02;01] TO TRY TO STEAL INFORMATION 
[001:07:03;04] THAT THEY THEN CAN USE TO MAKE 
[001:07:04;29] MONEY.
[001:07:05;25] BUT INCREASINGLY, WE ARE SEEING
[001:07:07;28] CYBER ATTACKS COMING FROM 
[001:07:12;25] STATES ORGANS OF STATES.
[001:07:14;29] THE MOST RECENT TROUBLING OF 
[001:07:16;28] THESE HAS BEEN RUSSIA.
[001:07:17;25] THERE'S NO DOUBT NOW THAT 
[001:07:18;29] RUSSIA HAS USED CYBER ATTACKS 
[001:07:24;29] AGAINST ALL KINDS OF 
[001:07:26;03] ORGANIZATIONS IN OUR COUNTRY 
[001:07:27;04] AND I AM DEEPLY CONCERNED ABOUT
[001:07:28;29] THIS AND I KNOW DONALD IS VERY 
[001:07:31;01] PRAISEWORTHY OF VLADIMIR PUTIN 
[001:07:32;11] BUT PUTIN IS PLAYING A TOUGH 
[001:07:36;10] LONG GAME HERE AND ONE OF THE 
[001:07:38;09] THINGS HE'S DONE IS TO LET 
[001:07:40;07] LOOSE CYBER ATTACKERS TO HACK 
[001:07:42;16] INTO GOVERNMENT FILES TO HACK 
[001:07:45;07] INTO PERSONAL FILES, HACK INTO 
[001:07:46;11] THE DEMOCRATIC NATIONAL 
[001:07:48;11] COMMITTEE.
[001:07:52;07] AND WE RECENTLY HAVE LEARNED 
[001:07:53;15] THAT THIS IS ONE OF THEIR 
[001:07:54;15] PREFERRED METHODS OF TRYING TO 
[001:07:57;14] WREAK HAVOC AND COLLECT 
[001:07:59;10] INFORMATION.
[001:07:59;24] WE NEED TO MAKE IT VERY CLEAR, 
[001:08:01;13] WHETHER IT'S RUSSIA, CHINA, 
[001:08:02;15] IRAN OR ANYBODY ELSE, THE 
[001:08:06;15] UNITED STATES HAS MUCH GREATER 
[001:08:09;21] CAPACITY, AND WE ARE NOT GOING 
[001:08:10;25] TO SIT IDLY BY AND PERMIT STATE
[001:08:15;26] ACTORS TO GO AFTER OUR 
[001:08:17;20] INFORMATION, OUR PRIVATE SECTOR
[001:08:18;23] INFORMATION OR OUR PUBLIC 
[001:08:20;21] SECTOR INFORMATION.
[001:08:25;20] AND WE'RE GOING TO HAVE TO MAKE
[001:08:26;25] IT CLEAR THAT WE DON'T WANT TO 
[001:08:28;22] USE THE KIND OF TOOLS THAT WE 
[001:08:29;23] HAVE, WE DON'T WANT TO ENGAGE 
[001:08:30;21] IN A DIFFERENT KIND OF WARFARE
[001:08:32;03] BUT WE WILL DEFEND THE CITIZENS
[001:08:33;29] OF THIS COUNTRY, AND THE 
[001:08:35;01] RUSSIANS NEED TO UNDERSTAND 
[001:08:36;02] THAT.
[001:08:36;22] I THINK THEY'VE BEEN TREATING 
[001:08:38;23] IT AS ALMOST A PROBING, HOW FAR
[001:08:40;23] WOULD WE GO? 
[001:08:41;24] HOW MUCH WOULD WE DO? 
[001:08:42;27] AND THAT'S WHY I WAS SO SHOCKED
[001:08:44;29] WHEN DONALD PUBLICLY INVITED 
[001:08:47;26] PUTIN TO HACK INTO AMERICANS.
[001:08:54;00] THAT IS JUST UNACCEPTABLE.
[001:08:55;08] IT'S ONE OF THE REASONS WHY 50 
[001:08:57;04] NATIONAL SECURITY OFFICIALS WHO
[001:09:01;02] SERVE IN PUBLIC INFORMATION HAS
[001:09:02;15] SAID THAT DONALD IS UNFIT TO BE
[001:09:04;12] THE COMMANDER IN CHIEF.
[001:09:05;10] IT'S COMMENTS LIKE THAT THAT 
[001:09:07;08] REALLY WORRY PEOPLE WHO 
[001:09:08;09] UNDERSTAND THE THREATS THAT WE 
[001:09:09;12] FACE. 
[001:09:09;23] LESTER HOLT:  MR. TRUMP, YOU 
[001:09:10;16] HAVE TWO MINUTES ON THE SAME 
[001:09:13;07] QUESTION.
[001:09:13;20] DONALD TRUMP: AND I DO WANT TO 
[001:09:14;14] SAY THAT I WAS JUST ENDORSED 
[001:09:15;16] AND MORE ARE COMING NEXT WEEK.
[001:09:17;14] IT WILL BE OVER 200 ADMIRALS.
[001:09:19;13] MANY OF THEM ARE HERE.
[001:09:21;14] ADMIRALS AND GENERALS ENDORSED 
[001:09:24;15] ME TO LEAD THIS COUNTRY.
[001:09:27;16] THAT JUST HAPPENED AND MANY 
[001:09:30;17] MORE ARE COMING.
[001:09:31;20] I'M VERY PROUD OF IT.
[001:09:32;14] IN ADDITION, I WAS JUST 
[001:09:34;12] ENDORSED BY ICE.
[001:09:35;14] THEY'VE NEVER ENDORSED ANYBODY 
[001:09:37;19] BEFORE ON IMMIGRATION.
[001:09:38;18] I WAS JUST ENDORSED BY ICE.
[001:09:40;13] I WAS JUST RECENTLY ENDORSED 
[001:09:43;10] 16,500 BORDER PATROL AGENTS.
[001:09:45;14] WHEN SECRETARY CLINTON TALKS 
[001:09:46;26] ABOUT THIS,  I'LL TAKE THE 
[001:09:48;13] ADMIRALS AND I'LL TAKE THE 
[001:09:50;14] GENERALS ANY DAY OVER THE 
[001:09:51;05] POLITICAL HACKS THAT I SEE THAT
[001:09:52;19] HAVE LED OUR COUNTRY SO 
[001:09:54;14] BRILLIANTLY OVER THE LAST 10 
[001:09:55;15] YEARS WITH THEIR KNOWLEDGE, 
[001:09:56;23] OKAY, BECAUSE LOOK AT THE MESS 
[001:09:57;22] THAT WE'RE IN.
[001:09:58;18] LOOK AT THE MESS WE'RE IN.
[001:09:59;20] AS FAR AS THE CYBER, I AGREE, 
[001:10:01;19] TO PARTS OF WHAT SECRETARY 
[001:10:04;17] CLINTON SAID.
[001:10:05;16] WE SHOULD BE BETTER THAN 
[001:10:07;02] ANYBODY ELSE AND PERHAPS WE'RE 
[001:10:08;23] NOT.
[001:10:09;03] I DON'T THINK ANYBODY KNOWS 
[001:10:09;26] THAT IT WAS RUSSIA THAT BROKE 
[001:10:10;26] INTO THE DNC.
[001:10:11;25] SHE'S SAYING RUSSIA, RUSSIA, 
[001:10:14;23] RUSSIA.
[001:10:15;05] MAYBE IT WAS.
[001:10:15;25] IT COULD BE RUSSIA BUT IT COULD
[001:10:17;03] BE CHINA.
[001:10:18;27] IT COULD BE LOTS OF OTHER 
[001:10:20;24] PEOPLE.
[001:10:21;07] IT COULD BE SOMEBODY SITTING ON
[001:10:22;07] THEIR BED THAT WEIGHS 400 
[001:10:23;27] POUNDS, OKAY.
[001:10:24;26] YOU DON'T KNOW WHO BROKE INTO 
[001:10:26;26] DNC.
[001:10:27;06] BUT WHAT DID WE LEARN WITH DNC?
[001:10:29;00] WE LEARNED THAT BERNIE SANDERS 
[001:10:30;12] WAS TAKEN ADVANTAGE OF BY YOUR 
[001:10:37;02] PEOPLE, BY DEBBIE WASSERMAN 
[001:10:38;07] SCHULTZ.
[001:10:38;28] LOOK WHAT HAPPENED TO HER.
[001:10:40;28] BERNIE SANDERS WAS TAKEN 
[001:10:42;04] ADVANTAGE OF.
[001:10:43;00] NOW, WHETHER THAT WAS RUSSIA, 
[001:10:44;02] WHETHER IT WAS CHINA WHETHER 
[001:10:45;03] IT WAS ANOTHER COUNTRY, WE 
[001:10:46;10] DON'T KNOW, BECAUSE THE TRUTH 
[001:10:49;04] IS ANOTHER PRESIDENT OBAMA 
[001:10:51;04] WE'VE LOST CONTROL OF THINGS 
[001:10:51;27] THAT WE USED TO HAVE CONTROL 
[001:10:54;07] OVER.
[001:10:56;04] WE CAME IN WITH THE INTERNET, 
[001:10:57;13] WE CAME UP WITH THE INTERNET 
[001:10:59;13] AND I THINK SECRETARY CLINTON 
[001:11:00;07] AND MYSELF WOULD AGREE VERY 
[001:11:01;12] MUCH WHEN YOU LOOK AT WHAT ISIS
[001:11:02;09] IS DOING WITH THE INTERNET, 
[001:11:03;15] THEY'RE BEATING US AT OUR OWN 
[001:11:07;06] GAME ISIS.
[001:11:08;09] SO WE HAVE TO GET VERY TOUGH ON
[001:11:10;05] CYBER AND CYBER WARFARE.
[001:11:13;12] IT IS A HUGE PROBLEM.
[001:11:17;11] I HAVE A SON.
[001:11:17;26] HE'S 10 YEARS OLD.
[001:11:18;14] HE HAS COMPUTERS.
[001:11:19;12] HE IS SO GOOD WITH THESE 
[001:11:21;09] COMPUTERS.
[001:11:21;22] IT'S UNBELIEVABLE.
[001:11:23;13] THE SECURITY ASPECT OF CYBER IS
[001:11:24;12] VERY TOUGH AND MAYBE IT'S 
[001:11:26;14] HARDLY DOABLE.
[001:11:28;15] BUT I WILL SAY, WE ARE NOT 
[001:11:30;15] DOING THE JOB WE SHOULD BE 
[001:11:31;21] DOING BUT THAT'S TRUE 
[001:11:33;15] THROUGHOUT OUR WHOLE 
[001:11:34;13] GOVERNMENTAL SOCIETY.
[001:11:36;12] WE HAVE SO MANY THINGS WE HAVE 
[001:11:37;23] TO DO BETTER LESTER AND CYBER 
[001:11:39;18] IS ONE OF THEM. 
[001:11:40;20] LESTER HOLT:  SECRETARY 
[001:11:42;13] CLINTON. 
[001:11:42;26] HILLARY CLINTON: I THINK THERE 
[001:11:43;20] ARE A NUMBER OF ISSUES THAT WE 
[001:11:44;15] SHOULD BE ADDRESSING.
[001:11:45;15] I HAVE PUT FORTH A PLAN TO 
[001:11:48;18] DEFEAT ISIS.
[001:11:49;23] IT DOES INVOLVE GOING AFTER 
[001:11:51;01] THEM ONLINE.
[001:11:51;26] I THINK WE NEED TO DO MUCH MORE
[001:11:54;24] WITH OUR TECH COMPANIES TO 
[001:11:57;22] PREVENT ISIS AND THEIR 
[001:11:59;23] OPERATIVES FROM BEING ABLE TO 
[001:12:03;25] USE THE INTERNET TO RADICALIZE 
[001:12:12;26] PEOPLE RADICALIZE 
[001:12:13;13] PEOPLE DIRECTLY IN OUR COUNTRY 
[001:12:14;07] AND EUROPE AND ELSEWHERE, BUT 
[001:12:15;00] WE HAVE TO INTENSIFY OUR AIR 
[001:12:15;23] STRIKES AGAINST ISIS AND 
[001:12:16;15] EVENTUALLY SUPPORT OUR ARAB AND
[001:12:18;27] KURDISH PARTNERS TO BE ABLE TO 
[001:12:20;29] ACTUALLY TAKE OUT ISIS IN ROCCA
[001:12:26;02] AND THEIR CLAIM OF BEING AICAL ICALICAL
[001:12:32;04] ICALICAL ICALICAL 
[001:12:33;27] CALIPHATE.
[001:12:34;10] WE'RE MAKING PROGRESS WITH IRAQ
[001:12:35;08] AND WE'RE HOPING TO WITHIN A 
[001:12:38;09] YEAR MAKE PROGRESS OUT OF IRAQ 
[001:12:39;10] AND REALLY SQUEEZE THEM IN 
[001:12:41;10] SYRIA BUT WE HAVE TO BE 
[001:12:43;08] COGNIZANT OF THE FACT THAT 
[001:12:44;08] WE'VE HAD FOREIGN FIGHTERS 
[001:12:46;10] COMING TO VOLUNTEER FOR THE 
[001:12:48;13] FOREIGN MONEY, FOREIGN WEAPONS,
[001:12:50;12] SO WE HAVE TO MAKE THIS THE TOP
[001:12:53;08] PRIORITY AND I WOULD ALSO DO 
[001:12:55;10] EVERYTHING POSSIBLE TO TAKE OUT
[001:12:56;16] THEIR LEADERSHIP.
[001:12:57;15] I WAS INVOLVED IN A NUMBER OF 
[001:12:59;12] EFFORTS TO TAKE OUT AL-QAIDA 
[001:13:02;13] LEADERSHIP WHEN I WAS SECRETARY
[001:13:03;07] OF STATE, INCLUDING OF COURSE 
[001:13:05;14] TAKING OUT BIN LADEN AND WE 
[001:13:09;16] HAVE TO GO AFTER BAGHDADY AS 
[001:13:12;25] WELL, MAKE IT ONE OF OUR 
[001:13:14;16] PRINCIPLES BECAUSE WE HAVE TO 
[001:13:15;19] DEFEAT ISIS AND HAVE TO DO 
[001:13:16;25] EVERYTHING WE CAN TO DISRUPT 
[001:13:17;26] THEIR PROPAGANDA EFFORTS 
[001:13:20;22] ONLINE. 
[001:13:21;04] LESTER HOLT:  WHEN YOU MENTION 
[001:13:22;18] ISIS, WE THINK OF ISIS OVER 
[001:13:24;19] THERE.
[001:13:25;00] BUT THERE HAVE BEEN AMERICAN 
[001:13:26;01] CITIZENS WHO HAVE BEEN INSPIRED
[001:13:27;22] TO COMMIT ACTS OF TERROR ON 
[001:13:29;24] AMERICAN SOIL, OF COURSE THE 
[001:13:32;23] LATEST ATTACKS IN NEW YORK AND 
[001:13:36;27] KNIFE ATTACKS, AND SAN 
[001:13:39;00] BERNARDINO AND ORLANDO.
[001:13:40;00] I'LL ASK YOU BOTH, HOW WOULD 
[001:13:42;02] YOU PREVENT HOME-GROWN ATTACKS 
[001:13:43;29] BY AMERICAN CITIZENS? 
[001:13:45;01] DONALD TRUMP: FIRST, YOU HAVE 
[001:13:46;04] TO SAY ONE THING, VERY 
[001:13:47;27] IMPORTANT.
[001:13:48;10] SECRETARY CLINTON IS TALKING 
[001:13:49;03] ABOUT TAKING OUT ISIS.
[001:13:49;29] WE WILL TAKE OUT ISIS.
[001:13:54;29] PRESIDENT OBAMA AND SECRETARY 
[001:13:56;07] CLINTON CREATED A VACUUM THE 
[001:13:58;03] WAY THEY GOT OUT OF IRAQ, 
[001:14:00;04] BECAUSE THEY GOT OUT WHAT THEY 
[001:14:02;10] SHOULDN'T HAVE BEEN IN.
[001:14:04;03] BUT ONCE THEY GOT IN, THE WAY 
[001:14:06;09] THEY GOT OUT WAS A DISASTER AND
[001:14:08;05] ISIS WAS FORMED.
[001:14:09;05] SHE TALKS ABOUT TAKING THEM 
[001:14:10;13] OUT.
[001:14:11;06] SHE'S BEEN DOING IT A LONG 
[001:14:12;09] TIME.
[001:14:12;20] SHE'S BEEN TRYING TO TAKE THEM 
[001:14:14;09] OUT A LONG TIME.
[001:14:15;11] BUT THEY WOULDN'T EVEN HAVE 
[001:14:16;20] BEEN FORMED IF THEY LEFT SOME 
[001:14:18;10] TROOPS BEHIND, LIKE 10,000 OR 
[001:14:20;11] MAYBE SOMETHING MORE THAN THAT
[001:14:21;17] AND THEN YOU WOULDN'T HAVE HAD 
[001:14:23;17] THEM.
[001:14:24;12] OR AS I'VE BEEN SAYING FOR A 
[001:14:25;15] LONG TIME AND I THINK YOU'LL 
[001:14:26;28] AGREE BECAUSE I SAID IT TO YOU 
[001:14:33;12] ONCE.
[001:14:33;23] I BELIEVE TAKING THE OIL -- AND
[001:14:34;17] WE SHOULD HAVE TAKEN THE 
[001:14:35;08] OIL -- ISIS WOULD NOT HAVE BEEN
[001:14:36;02] ABLE TO FORM EITHER BECAUSE THE
[001:14:36;26] OIL WAS THEIR PRIMARY SOURCE OF
[001:14:37;22] INCOME.
[001:14:38;04] AND NOW THEY HAVE THE OIL ALL 
[001:14:39;22] OVER THE PLACE INCLUDING A LOT 
[001:14:41;27] OF THE OIL IN LIBYA, WHICH WAS 
[001:14:43;23] ANOTHER ONE OF HER DISASTERS. 
[001:14:45;28] LESTER HOLT:  SECRETARY 
[001:14:46;23] CLINTON. 
[001:14:47;06] HILLARY CLINTON: WELL, I HOPE 
[001:14:48;00] THE FACT CHECKERS ARE TURNING 
[001:14:49;06] UP THE VOLUME AND REALLY 
[001:14:51;28] WORKING HARD.
[001:14:55;27] DONALD SUPPORTED THE INVASION 
[001:14:57;04] OF IRAQ. 
[001:14:58;01] DONALD TRUMP: WRONG. 
[001:14:58;20] HILLARY CLINTON: THAT IS PROVED
[001:14:59;14] OVER AND OVER AGAIN. 
[001:15:00;04] DONALD TRUMP: WRONG. 
[001:15:01;01] HILLARY CLINTON: HE ACTUALLY 
[001:15:02;05] ADVOCATED FOR THE ACTIONS WE 
[001:15:03;03] TOOK IN LIB WRA LIBYA AND URGED
[001:15:10;29] QADDAFI BE TAKEN OUT AFTER 
[001:15:12;07] DOING BUSINESS WITH THEM.
[001:15:13;29] HE SAYS THIS CONSTANTLY, IS 
[001:15:17;02] GEORGE W. BUSH MADE THE 
[001:15:19;01] AGREEMENT ABOUT WHEN AMERICAN 
[001:15:21;01] TROOPS WOULD LEAVE IRAQ, NOT 
[001:15:24;03] OBAMA.
[001:15:24;14] AND THE ONLY WAY THAT AMERICAN 
[001:15:26;05] TROOPS COULD HAVE STAYED IN 
[001:15:27;04] IRAQ IS TO GET AN AGREEMENT 
[001:15:29;10] FROM THE THEN IRAQI GOVERNMENT 
[001:15:31;07] THAT WOULD HAVE PROTECTED OUR 
[001:15:33;11] TROOPS, AND THE IRAQI 
[001:15:36;07] GOVERNMENT WOULD NOT GIVE THAT.
[001:15:38;07] BUT LET'S TALK ABOUT THE 
[001:15:39;16] QUESTION YOU ASKED, LESTER.
[001:15:41;11] THE QUESTION YOU ASKED IS WHAT 
[001:15:42;10] DO WE DO HERE IN THE UNITED 
[001:15:43;17] STATES? 
[001:15:44;05] THAT'S THE MOST IMPORTANT PART 
[001:15:45;06] OF THIS.
[001:15:45;18] HOW DO WE PREVENT ATTACKS? 
[001:15:47;10] HOW DO WE PROTECT OUR PEOPLE? 
[001:15:49;11] AND I THINK WE'VE GOT TO HAVE 
[001:15:53;11] AN INTELLIGENCE SURGE WHERE WE 
[001:15:55;11] ARE LOOKING FOR EVERY SCRAP OF 
[001:15:56;17] INFORMATION.
[001:15:57;01] I WAS SO PROUD OF LAW 
[001:15:58;16] ENFORCEMENT IN NEW YORK, IN 
[001:16:01;15] MINNESOTA, IN NEW JERSEY.
[001:16:02;16] YOU KNOW, THEY RESPONDED SO 
[001:16:04;13] QUICKLY, SO PROFESSIONALLY TO 
[001:16:05;06] THE ATTACKS THAT OCCURRED BY 
[001:16:08;15] RAHAMI , AND THEY BROUGHT HIM 
[001:16:10;14] DOWN, AND WE MAY FIND OUT MORE 
[001:16:12;19] INFORMATION BECAUSE HE IS STILL
[001:16:14;16] ALIVE, WHICH MAY PROVE TO BE AN
[001:16:17;15] INTELLIGENCE BENEFIT.
[001:16:18;17] SO WE'VE GOT TO DO EVERYTHING 
[001:16:20;24] WE CAN TO VACUUM UP 
[001:16:22;22] INTELLIGENCE FROM EUROPE FROM 
[001:16:23;23] THE MIDDLE EAST, THAT MEANS 
[001:16:25;20] WE'VE GOT TO WORK MORE CLOSELY 
[001:16:26;25] WITH OUR ALLIES.
[001:16:27;24] AND THAT'S SOMETHING THAT 
[001:16:31;27] DONALD HAS BEEN VERY DISMISSIVE
[001:16:33;22] OF.
[001:16:34;02] WE ARE WORKING WITH NATO, THE 
[001:16:36;24] LONGEST MILITARY ALLIANCE IN 
[001:16:37;17] THE HISTORY OF THE WORLD, TO 
[001:16:38;22] REALLY TURN OUR ATTENTION TO 
[001:16:40;23] TERRORISM.
[001:16:41;06] WE'RE WORKING WITH OUR FRIENDS 
[001:16:42;25] IN THE MIDDLE EAST MANY OF 
[001:16:43;28] WHICH AS YOU KNOW ARE MUSLIM 
[001:16:46;29] MAJORITY NATIONS.
[001:16:49;25] DONALD HAS CONSISTENTLY 
[001:16:53;26] INSULTED MUSLIMS ABROAD AND AT 
[001:16:55;29] HOME WHEN WE NEED TO BE 
[001:16:57;27] COOPERATING WITH MUSLIM NATIONS
[001:17:00;00] AND THE MUSLIM AMERICAN 
[001:17:02;01] COMMUNITY.
[001:17:02;14] THEY'RE ON THE FRONT LINES.
[001:17:03;06] THEY CAN PROVIDE INFORMATION TO
[001:17:04;07] US THAT WE MAY NOT GET ANYWHERE
[001:17:05;28] ELSE.
[001:17:06;09] THEY NEED TO HAVE CLOSE WORKING
[001:17:07;12] OPERATION WITH LAW ENFORCEMENT 
[001:17:08;11] IN THESE COMMUNITIES, NOT BE 
[001:17:10;29] ALIENATED AND PUSHED AWAY AS 
[001:17:13;06] SOME OF DONALD'S RHETORIC 
[001:17:15;07] UNFORTUNATELY HAS LED TO.
[001:17:19;03] LESTER HOLT:  PLEASE RESPOND. 
[001:17:21;10] DONALD TRUMP: THE SECRETARY 
[001:17:24;05] SAID VERY STRONGLY ABOUT 
[001:17:25;04] WORKING WITH -- WE'VE BEEN 
[001:17:26;09] WORKING WITH THEM FOR MANY 
[001:17:27;13] YEARS, AND WE HAVE THE GREATEST
[001:17:29;04] MESS ANYONE'S EVER SEEN.
[001:17:30;08] YOU LOOK AT THE MIDDLE EAST.
[001:17:31;10] IT'S A TOTAL MESS.
[001:17:32;11] UNDER YOUR DIRECTION, TO A 
[001:17:34;08] LARGE EXTENT.
[001:17:34;23] BUT YOU LOOK AT THE MIDDLE 
[001:17:36;09] EAST.
[001:17:36;20] YOU STARTED THE IRAN DEAL.
[001:17:39;11] THAT'S ANOTHER BEAUTY WHERE YOU
[001:17:41;14] HAVE A COUNTRY READY TO FALL, 
[001:17:42;13] THEY WERE DOING SO BADLY.
[001:17:46;19] THEY WERE CHOKING ON THE 
[001:17:47;21] SANCTIONS AND THEY'RE GOING TO 
[001:17:49;18] BE A MAJOR POWER AT SOME POINT 
[001:17:51;17] THE WAY THEY'RE GOING.
[001:17:52;18] BUT WHEN YOU LOOK AT NATO -- I 
[001:17:54;22] WAS ASKING ON A MAJOR SHOW, 
[001:17:56;23] WHAT DO YOU THINK OF NATO.
[001:17:57;22] I'M A BUSINESSMAN.
[001:17:59;18] BUT I HAVE COMMON SENSE.
[001:18:00;08] I SAID, WELL, I'LL TELL YOU, I 
[001:18:02;19] HAVEN'T GIVEN LOTS OF THOUGHT 
[001:18:03;12] TO NATO BUT TWO THINGS.
[001:18:04;22] NUMBER 1 THE 28 COUNTRIES OF 
[001:18:06;23] NATO, MANY OF THEM AREN'T 
[001:18:08;24] PAYING THEIR FAIR SHARE.
[001:18:09;26] NUMBER 2, THAT BOTHERS ME, 
[001:18:11;25] BECAUSE WE'RE DEFENDING THEM 
[001:18:12;29] AND THEY SHOULD BE AT LEAST 
[001:18:14;05] PAYING US WHAT THEY'RE SUPPOSED
[001:18:15;23] TO BE PAYING BY TREATY AND 
[001:18:17;25] CONTRACT, AND, NUMBER 2, I SAID
[001:18:19;24] AND VERY STRONGLY, NATO COULD 
[001:18:20;29] BE OBSOLETE BECAUSE -- AND I 
[001:18:22;29] WAS VERY STRONG ON THIS, AND IT
[001:18:24;29] WAS ACTUALLY COVERED VERY 
[001:18:26;00] ACCURATELY IN THE NEW YORK 
[001:18:27;25] TIMES WHICH IS UNUSUAL FOR THE 
[001:18:29;03] NEW YORK TIMES TO BE HONEST.
[001:18:30;03] BUT I SAID THEY DO NOT FOCUS ON
[001:18:33;27] TERROR, AND I WAS VERY STRONG.
[001:18:35;01] AND I SAID IT NUMEROUS TIMES.
[001:18:37;04] AND ABOUT FOUR MONTHS AGO I 
[001:18:39;02] READ ON THE FRONT PAGE OF THE 
[001:18:40;29] WALL STREET JOURNAL THAT NATO 
[001:18:42;04] IS OPENING UP A MAJOR TERROR 
[001:18:45;05] DIVISION AND I THINK THAT'S 
[001:18:46;05] GREAT.
[001:18:47;02] AND I THINK WE SHOULD 
[001:18:47;21] GET -- BECAUSE WE PAY 
[001:18:49;07] APPROXIMATELY 73% OF THE COST 
[001:18:52;05] OF NATO, IT'S A LOT OF MONEY TO
[001:18:54;11] PROTECT OTHER PEOPLE, BUT I'M 
[001:18:56;13] ALL FOR NATO, BUT I SAID THEY 
[001:18:58;09] HAVE TO FOCUS ON TERROR ALSO.
[001:19:00;07] AND THEY'RE GOING TO DO THAT.
[001:19:01;09] AND THAT WAS, BELIEVE ME, NOT 
[001:19:03;07] GOING TO GET CREDIT FOR IT, BUT
[001:19:05;07] THAT WAS LARGELY BECAUSE OF 
[001:19:06;10] WHAT I WAS SAYING AND MY 
[001:19:07;14] CRITICISM OF NATO.
[001:19:09;08] I THINK WE HAVE TO GET NATO TO 
[001:19:11;12] GO INTO THE MIDDLE EAST WITH 
[001:19:12;21] US IN ADDITION TO SURROUNDING 
[001:19:15;11] NATIONS, AND WE HAVE TO KNOCK 
[001:19:16;21] THE HELL OUT OF ISIS AND WE 
[001:19:18;12] HAVE TO DO IT FAST.
[001:19:19;12] WHEN ISIS FORMED IN THIS VACUUM
[001:19:22;10] CREATED BY BARACK OBAMA AND 
[001:19:23;21] SECRETARY CLINTON, 
[001:19:25;14] AND -- BELIEVE ME, YOU WERE THE
[001:19:27;16] ONES THAT TOOK OUT THE 
[001:19:28;18] TROOPS -- NOT ONLY THAT, YOU 
[001:19:29;21] NAMED THE DAY -- THEY COULDN'T 
[001:19:31;23] BELIEVE IT.
[001:19:32;18] THEY SAT BACK AND SAID 
[001:19:34;19] PROBABLY -- WAIT A MINUTE.
[001:19:36;17] WHEN THEY FORMED -- THIS IS 
[001:19:38;18] SOMETHING THAT NEVER SHOULD 
[001:19:39;10] HAVE HAPPENED.
[001:19:40;18] IT SHOULD HAVE NEVER HAPPENED.
[001:19:41;26] YOU'RE TALKING ABOUT TAKING OUT
[001:19:42;25] ISIS, BUT YOU WERE THERE AND 
